Simplified,Pinyin,Definition,HSK
说话,shuōhuà,to talk; speak,2
门,mén,door; opening; gate (Kangxi radical 169),2
女,nǚ,woman; female (Kangxi radical 38),2
忙,máng,busy,2
卖,mài,to sell,2
高,gāo,high; tall (Kangxi radical 189),2
房间,fángjiān,room,2
路,lù,road; path; journey; route,2
懂,dǒng,understand; know,2
正在,zhèngzài,in the process of (doing something); currently,2
笑,xiào,to laugh; to smile,2
远,yuǎn,far; distant; remote,2
妻子,qīzi,wife,2
丈夫,zhàngfu,husband; man,2
离,lí,leave; depart; go away; apart from,2
往,wǎng,to go (in a direction); towards; in the past,2
男,nán,male,2
眼睛,yǎnjing,eye,2
快乐,kuàilè,happy,2
虽然,suīrán,although; even though,2
早上,zǎoshang,(early) morning,2
药,yào,medicine; drug; cure; chemical,2
身体,shēntǐ,health; (human) body,2
黑,hēi,black; dark (Kangxi radical 203); Heilongjiang province (abbreviation),2
咖啡,kāfēi,coffee,2
日,rì,sun; day; date; time (Kangxi radical 72),2
休息,xiūxi,to rest; take a break,2
外,wài,outer; outside; in addition; foreign,2
生日,shēngrì,birthday,2
哥哥,gēge,older brother,2
票,piào,ticket; bank note; a vote,2
手机,shǒujī,mobile (cell) phone,2
洗,xǐ,to wash; bathe,2
跳舞,tiào wǔ,to dance,2
弟弟,dìdi,younger brother,2
妹妹,mèimei,younger sister,2
红,hóng,red; symbol of success; bonus; popular,2
慢,màn,slow,2
近,jìn,near; close (to),2
白,"bái, bó",white; snowy; pure; bright; empty (Kangxi radical 106),2
姐姐,jiějie,older sister,2
介绍,jièshào,to introduce; recommend; introduction,2
鱼,yú,fish (Kangxi radical 195),2
累,"lèi, lěi, léi",tired | accumulate; implicate | rope; bind together,2
课,kè,class; subject; lesson; course,2
上班,shàng bān,go to work; be on duty,2
旁边,pángbiān,"side, beside",2
运动,yùndòng,(physical) exercise; movement; sports; campaign,2
去年,qùnián,last year,2
报纸,bàozhǐ,newspaper,2
颜色,yánsè,color,2
机场,jīchǎng,airport; airfield,2
唱歌,chànggē,sing (a song),2
千,qiān,one thousand,2
好吃,hǎochī,tasty,2
考试,kǎoshì,test; exam; to give or take a test,2
左边,zuǒbian,the left side; the left,2
姓,xìng,surname; family name,2
百,bǎi,hundred,2
雪,xuě,snow,2
贵,guì,expensive; noble; honorable; Guizhou province (abbreviation),2
生病,shēng bìng,get sick; fall ill,2
游泳,yóuyǒng,to swim,2
牛奶,niúnǎi,cow's milk,2
右边,yòubian,the right (as opposed to left) side,2
便宜,piányi,cheap,2
公共汽车,gōnggòng qìchē,(public) bus,2
起床,qǐ chuáng,get out of bed,2
打篮球,dǎ lánqiú,play basketball,2
鸡蛋,jīdàn,(chicken) egg,2
踢足球,tīzúqiú,to play football/soccer,2
零,líng,zero; remnant,2
手表,shǒubiǎo,wristwatch,2
旅游,lǚyóu,trip; journey; tour,2
服务员,fúwùyuán,waiter/waitress; server; attendant,2
宾馆,bīnguǎn,guesthouse; hotel,2
教室,jiàoshì,classroom,2
跑步,pǎo bù,to run; to jog,2
阴,yīn,cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade,2
面条,miàntiáo,noodles,2
铅笔,qiānbǐ,pencil,2
火车站,huǒchēzhàn,train station,2
西瓜,xīguā,watermelon,2
羊肉,yángròu,mutton; lamb,2
晴,qíng,clear; fine (as of weather),2
阿姨,āyí,auntie; step-mother; mother's younger sister,3
啊,a,"ah; (particle showing elation, doubt, puzzled surprise, or approval)",3
矮,ǎi,short; low,3
爱好,àihào,hobby; fond of; to like; interest,3
安静,ānjìng,quiet; peaceful; calm,3
把,bǎ,(mw for things with handles); (pretransitive particle); to hold,3
班,bān,team; class; squad,3
搬,bān,to move; to transport,3
办法,bànfǎ,method; way (of doing something),3
办公室,bàngōngshì,office,3
半,bàn,half; semi-; incomplete,3
帮忙,bāngmáng,to help,3
包,bāo,"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",3
饱,bǎo,eat until full; satisfied,3
北方,běifāng,north; the northern part of the country,3
被,bèi,by (indicates passive voice sentences); a quilt/blanket,3
鼻子,bízi,nose,3
比较,bǐjiào,compare; contrast; relatively,3
比赛,bǐsài,(sports) match; competition,3
笔记本,bǐjìběn,notebook,3
必须,bìxū,must; have to,3
变化,biànhuà,change,3
别人,biéren,other people; others,3
冰箱,bīngxiāng,refrigerator,3
不但,búdàn,not only,3
而且,érqiě,moreover; in addition; as well as,3
菜单,càidān,menu,3
参加,cānjiā,participate; join; take part in,3
草,cǎo,grass; straw; draft (of a document),3
层,céng,"(mw for layers, floors of buildings)",3
差,chà,differ from; fall short of; poor; inferior,3
超市,chāoshì,supermarket,3
衬衫,chènshān,shirt; blouse,3
成绩,chéngjì,achievement; success; results (of work or study),3
城市,chéngshì,city or town,3
迟到,chídào,arrive late,3
除了,chúle,besides; except for; aside from; in addition to,3
船,chuán,a boat; vessel; ship,3
春,chūn,spring (season); joyful,3
词典,cídiǎn,dictionary,3
聪明,cōngming,intelligent; clever; bright; smart,3
打扫,dǎsǎo,to clean; to sweep,3
打算,dǎsuàn,to plan; intend,3
带,dài,band; belt; ribbon; carry; bring; take along; bring up (kids),3
担心,dānxīn,to worry; feel anxious,3
蛋糕,dàngāo,cake,3
当然,dāngrán,of course; naturally,3
地,"dì, de",earth; ground | (adverbial particle),3
灯,dēng,lamp; light,3
地方,dìfang,"place; space; room; part, (fāng: local; regional)",3
地铁,dìtiě,subway,3
地图,dìtú,map,3
电梯,diàntī,elevator,3
电子邮件,diànzǐ yóujiàn,email,3
东,dōng,East,3
冬,dōng,winter,3
动物,dòngwù,animal,3
短,duǎn,"short (in length, duration, or height); lack",3
段,duàn,paragraph; segment; section,3
锻炼,duànliàn,to exercise; work out; toughen; to temper,3
多么,duōme,"how (wonderful, etc.); what (a great idea)",3
饿,è,hungry,3
耳朵,ěrduo,ear,3
发,"fā, fà",send out; to issue; to show (one's feelings) | hair,3
发烧,fāshāo,have a fever,3
发现,fāxiàn,discover; to find,3
方便,fāngbiàn,convenient,3
放,fàng,put; to place; to release; to free,3
放心,fàngxīn,relax; feel relieved; rest assured,3
分,"fēn, fèn",divide; part; minute; cent | component; share; ingredient,3
附近,fùjìn,(in the) vicinity; nearby; neighboring,3
复习,fùxí,revise; to review,3
干净,gānjìng,clean; neat and tidy,3
感冒,gǎnmào,catch cold; (common) cold,3
感兴趣,gǎn xìngqù,be interested in,3
刚才,gāngcái,just now; a moment ago,3
个子,gèzi,height; stature; build,3
根据,gēnjù,according to; based on; basis,3
跟,gēn,to follow; go with; heel,3
更,gèng,more; even more,3
公斤,gōngjīn,kilogram,3
公园,gōngyuán,public park,3
故事,gùshi,story; tale,3
刮风,guāfēng,windy; to blow (wind),3
关,guān,to close; shut; concern; relationship; turn off; mountain pass,3
关系,guānxi,relation; to concern,3
关心,guānxīn,concerned about/with,3
关于,guānyú,about; regarding; concerning,3
国家,guójiā,country; state; nation,3
过,guò,to pass; to cross; go over; (indicates a past experience),3
过去,guòqù,in the past; formerly,3
还是,háishi,or; still; nevertheless; had better,3
害怕,hàipà,afraid of; to fear,3
黑板,hēibǎn,blackboard,3
后来,hòulái,afterwards; after; later,3
护照,hùzhào,passport,3
花,huā,flower; blossom; spend money; cost,3
画,huà,draw; picture; painting,3
坏,huài,bad; broken,3
欢迎,huānyíng,to welcome; greet,3
还,hái,still; yet; in addition; even,3
环境,huánjìng,environment; surroundings,3
换,huàn,change; to exchange; to barter; to trade,3
黄河,huánghé,Yellow River,3
回答,huídá,to reply; to answer,3
会议,huìyì,meeting; conference,3
或者,huòzhě,or; possible; maybe; perhaps,3
几乎,jīhū,almost,3
机会,jīhuì,opportunity; chance; occasion,3
极,jí,an extreme; pole; very,3
记得,jìde,remember,3
季节,jìjié,season; time; period,3
检查,jiǎnchá,to check; examine; inspect,3
简单,jiǎndān,simple; not complicated,3
见面,jiànmiàn,meet/see somebody; meeting,3
健康,jiànkāng,health; healthy,3
讲,jiǎng,to talk; to lecture; to explain; a speech,3
教,"jiāo, jiào",teach; instruct | religion; teaching,3
角,"jiǎo, jué",horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater),3
脚,jiǎo,foot (body part),3
接,jiē,connect; to meet; to pick up (somebody); to receive,3
街道,jiēdào,street,3
节目,jiémù,program; item (on a program),3
节日,jiérì,holiday; festival,3
结婚,jiéhūn,get married,3
结束,jiéshù,to end; to finish; conclude,3
解决,jiějué,settle (a dispute); resolve; solve,3
借,jiè,lend; borrow; excuse,3
经常,jīngcháng,often; frequently; daily,3
经过,jīngguò,to pass; go through; as a result of,3
经理,jīnglǐ,manager; director,3
久,jiǔ,long (time),3
旧,jiù,old; past; used,3
句子,jùzi,sentence,3
决定,juédìng,decide; resolve,3
可爱,kě'ài,cute; lovely,3
渴,kě,thirsty,3
刻,kè,quarter (hour); (mw for short time intervals); carve; to cut,3
客人,kèrén,guest; customer,3
空调,kōngtiáo,air conditioning,3
口,kǒu,mouth (Kangxi radical 30),3
哭,kū,cry; weep,3
裤子,kùzi,pants; trousers,3
筷子,kuàizi,chopsticks,3
蓝,lán,blue,3
老,lǎo,old; aged; tough; often (Kangxi radical 125),3
离开,líkāi,leave; depart,3
礼物,lǐwù,gift; present,3
历史,lìshǐ,history,3
脸,liǎn,face,3
练习,liànxí,practice; exercise,3
辆,liàng,(mw for vehicles),3
聊天,liáotiān,to chat,3
了解,liǎojiě,comprehend; understand; know; find out,3
邻居,línjū,neighbor,3
留学,liúxué,study abroad,3
楼,lóu,story; floor; (multi-story) building,3
绿,lǜ,green,3
马,mǎ,horse (Kangxi radical 187),3
马上,mǎshàng,at once; immediately; right away,3
满意,mǎnyì,satisfied; pleased,3
帽子,màozi,hat; cap,3
米,mǐ,rice; meter (Kangxi radical 119),3
面包,miànbāo,bread,3
明白,míngbai,clear; obvious; understand; explicit,3
拿,ná,carry in your hand; seize; to catch,3
奶奶,nǎinai,grandma; (informal) paternal grandmother,3
南,nán,South,3
难,nán,difficult,3
难过,nánguò,be grieved; be sad; have a hard time,3
年级,niánjí,grade; year (in school),3
年轻,niánqīng,young,3
鸟,niǎo,bird (Kangxi radical 196),3
努力,nǔlì,to work hard; to strive,3
爬山,páshān,mountain climbing,3
盘子,pánzi,plate; dish; tray,3
胖,pàng,fat; plump,3
皮鞋,píxié,leather shoes,3
啤酒,píjiǔ,beer,3
瓶子,píngzi,bottle,3
其实,qíshí,actually; in fact,3
其他,qítā,other; else,3
奇怪,qíguài,strange; odd,3
骑,qí,to ride (an animal or bike); to sit astride,3
起飞,qǐfēi,take off (in an airplane); liftoff,3
起来,qǐlai,(beginning or continuing an action); to rise; get up (from bed),3
清楚,qīngchu,clear; distinct; be clear about,3
请假,qǐngjià,to ask for time off,3
秋,qiū,autumn; fall; harvest time,3
裙子,qúnzi,skirt,3
然后,ránhòu,then; afterwards,3
热情,rèqíng,cordial; warm; enthusiastic,3
认为,rènwéi,believe; think that,3
认真,rènzhēn,serious; earnest; take seriously,3
容易,róngyì,easy; likely; liable (to),3
如果,rúguǒ,if; in the event that,3
伞,sǎn,umbrella; parasol,3
上网,shàngwǎng,to surf the web; to go online,3
生气,shēngqì,angry; mad,3
声音,shēngyīn,sound; voice,3
世界,shìjiè,world,3
试,shì,to try; to test; examination,3
瘦,shòu,thin; tight; lean,3
叔叔,shūshu,(informal) father's younger brother; uncle,3
舒服,shūfu,comfortable; feeling well,3
树,shù,tree,3
数学,shùxué,mathematics,3
刷牙,shuāyá,brush one's teeth,3
双,shuāng,two; double; (mw for pairs),3
水平,shuǐpíng,level; standard; horizontal,3
司机,sījī,driver; chauffeur,3
太阳,tàiyáng,the sun,3
特别,tèbié,special; especially; particular,3
疼,téng,ache; sore; (it) hurts; love fondly,3
提高,tígāo,to raise; heighten; improve,3
体育,tǐyù,physical training; sports,3
甜,tián,sweet,3
条,tiáo,strip; (mw for long thin objects); item,3
同事,tóngshì,colleague; co-worker,3
同意,tóngyì,agree; to consent; approve,3
头发,tóufa,hair (on the head),3
突然,tūrán,sudden; abrupt,3
图书馆,túshūguǎn,library,3
腿,tuǐ,leg,3
完成,wánchéng,to complete; accomplish; to fulfill,3
碗,wǎn,bowl; cup,3
万,wàn,ten thousand,3
忘记,wàngjì,forget,3
为,wèi,for; because of; to; for the sake of,3
为了,wèile,in order to; for the sake of; for the purpose of,3
位,wèi,position; location; (polite mw for people),3
文化,wénhuà,culture; civilization,3
西,xī,West (Kangxi radical 146),3
习惯,xíguàn,habit; be accustomed to; usual practice,3
洗手间,xǐshǒujiān,toilet; lavatory; washroom,3
洗澡,xǐzǎo,bathe; take a bath or shower; bath or shower,3
夏,xià,summer,3
先,xiān,first; early; before,3
相信,xiāngxìn,believe (sb.); be convinced of,3
香蕉,xiāngjiāo,banana,3
向,xiàng,direction; towards; to turn; to face,3
像,xiàng,be like; resemble; appearance; appear,3
小心,xiǎoxīn,be careful,3
校长,xiàozhǎng,"principal (of school, college or university); president; headmaster",3
新闻,xīnwén,news,3
新鲜,xīnxiān,"fresh (experience, food, etc.); new; novel",3
信用卡,xìnyòngkǎ,credit card,3
行李箱,xínglǐxiāng,trunk; suitcase,3
熊猫,xióngmāo,panda,3
需要,xūyào,to need; to want; to demand,3
选择,xuǎnzé,select; to pick; choose,3
要求,yāoqiú,to request; to demand; requirement,3
爷爷,yéye,(informal) father's father; paternal grandfather,3
一般,yìbān,general; ordinary; common; same,3
一边,yìbiān,one side; on the one hand; at the same time,3
一定,yídìng,surely; certainly; necessarily; definite,3
一共,yígòng,altogether; in total,3
一会儿,yíhuìr,a while; a moment,3
一样,yíyàng,the same; alike; equal to,3
一直,yìzhí,always; all along; straight (in a straight line),3
以前,yǐqián,before; formerly; previous,3
音乐,yīnyuè,music,3
银行,yínháng,bank,3
饮料,yǐnliào,beverage; drink,3
应该,yīnggāi,should; ought to; must,3
影响,yǐngxiǎng,influence; affect; effect,3
用,yòng,to use (Kangxi radical 101),3
游戏,yóuxì,game; play; recreation,3
有名,yǒumíng,famous; well-known,3
又,yòu,(once) again; also; both (Kangxi radical 29),3
遇到,yùdào,to meet; run into; come across,3
元,yuán,Chinese monetary unit; dollar; first; principal,3
愿意,yuànyì,be willing; want to; be ready,3
月亮,yuèliang,the moon,3
越,yuè,even more; the more; exceed,3
站,zhàn,stand; a station; be on one's feet; service center,3
张,zhāng,(mw for flat objects); to spread out; (common surname),3
长,"cháng, zhǎng",long; length | grow; chief (Kangxi radical 168),3
着急,zháojí,to worry; feel anxious,3
照顾,zhàogu,take care of; look after; give consideration,3
照片,zhàopiàn,picture; photograph,3
照相机,zhàoxiàngjī,camera,3
只,"zhī, zhǐ",but; only; merely; just | (mw for birds and certain animals),3
只有,zhǐyǒu,only,3
才,cái,ability; talent; just now; not until,3
中间,zhōngjiān,center; middle; between; among,3
中文,Zhōngwén,Chinese (language),3
终于,zhōngyú,at last; in the end; finally,3
种,zhǒng,type; breed; race; seed,3
重要,zhòngyào,important; significant; major,3
周末,zhōumò,weekend,3
主要,zhǔyào,main; principal; major,3
注意,zhùyì,pay attention to; take notice of; be careful,3
自己,zìjǐ,oneself; self,3
自行车,zìxíngchē,bike; bicycle,3
总是,zǒngshì,always; eventually,3
嘴,zuǐ,mouth,3
最后,zuìhòu,last; final; ultimately,3
最近,zuìjìn,recently; lately; these days,3
作业,zuòyè,school assignment; homework; task,3
爱情,àiqíng,(romantic) love,4
安排,ānpái,arrange; to plan,4
安全,ānquán,safe; safety; secure; security,4
按时,ànshí,on time; on schedule,4
按照,ànzhào,according to; in accordance with; in light of,4
百分之,bǎifēnzhī,percent,4
棒,bàng,stick; club; good; excellent,4
包子,bāozi,steamed stuffed bun,4
保护,bǎohù,to protect; to defend,4
保证,bǎozhèng,to guarantee; ensure,4
报名,bào míng,sign up; apply,4
抱,bào,to hold; to hug; carry in one's arms; to cradle,4
抱歉,bàoqiàn,be sorry; feel apologetic; to regret,4
倍,bèi,"(two, three, etc)-fold; times (multiplier)",4
本来,běnlái,originally; at first,4
笨,bèn,stupid; foolish; silly; dumb; clumsy,4
比如,bǐrú,for example; for instance; such as,4
毕业,bì yè,to graduate; to finish school,4
遍,biàn,a time; everywhere; turn; (mw for times or turns),4
标准,biāozhǔn,(an official) standard; norm; criterion,4
表格,biǎogé,form (document),4
表示,biǎoshì,express; show; indicate,4
表演,biǎoyǎn,perform; to play,4
表扬,biǎoyáng,to praise; commend,4
饼干,bǐnggān,biscuit; cracker; cookie,4
并且,bìngqiě,and; besides; moreover,4
博士,bóshì,doctor; PhD,4
不得不,bù dé bù,have to; have no choice but to; cannot but,4
不管,bùguǎn,"no matter (what, how, etc.); regardless of",4
不过,búguò,only; merely; but; however,4
不仅,bùjǐn,not only; not just,4
部分,bùfen,part; share; section,4
擦,cā,to wipe; to rub; to polish,4
猜,cāi,to guess,4
材料,cáiliào,material,4
参观,cānguān,"to visit (a place, such as a tourist spot); inspect",4
餐厅,cāntīng,dining hall; cafeteria; restaurant,4
厕所,cèsuǒ,bathroom; toilet; lavatory,4
差不多,chàbuduō,almost; about the same,4
长城,chángchéng,the Great Wall,4
长江,Chángjiāng,the Yangtze River; the Changjiang River,4
尝,cháng,to taste; flavor; (past tense marker),4
场,chǎng,"courtyard; place; field; (mw for games, performances, etc.)",4
超过,chāoguò,surpass; exceed; outstrip,4
成功,chénggōng,success; to succeed,4
成为,chéngwéi,become; turn into,4
诚实,chéngshí,honest; honorable,4
乘坐,chéngzuò,ride; get into (a vehicle),4
吃惊,chī jīng,be startled; be shocked; be amazed,4
重新,chóngxīn,again; anew; once more,4
抽烟,chōuyān,"to smoke (a cigarette, pipe, etc.)",4
出差,chū chāi,go on a business trip,4
出发,chūfā,start out; set off,4
出生,chūshēng,be born,4
出现,chūxiàn,appear; arise; emerge,4
厨房,chúfáng,kitchen,4
传真,chuánzhēn,fax; facsimile,4
窗户,chuānghu,window,4
词语,cíyǔ,words and expressions; terms,4
从来,cónglái,always; at all times,4
粗心,cūxīn,careless; inadvertent; negligent,4
存,cún,exist; to deposit; to store,4
错误,cuòwù,error; mistake; mistaken,4
答案,dá'àn,answer; solution,4
打扮,dǎban,dress up; put on make up,4
打扰,dǎrǎo,disturb,4
打印,dǎyìn,to print,4
打招呼,dǎzhāohu,notify; greet; inform,4
打折,dǎzhé,sell at a discount,4
打针,dǎzhēn,inject; get a shot,4
大概,dàgài,probably; roughly; approximate,4
大使馆,dàshǐguǎn,embassy,4
大约,dàyuē,approximately; about,4
大夫,dàifu,doctor; physician,4
戴,dài,put on; to wear; to respect,4
当,dāng,should; act as; work as; manage; match; (sound of bells),4
当时,dāngshí,then; at that time; while,4
刀,dāo,knife; blade (Kangxi radical 18),4
导游,dǎoyóu,tour guide,4
到处,dàochù,everywhere; in all places; all over,4
到底,dào dǐ,after all; in the end (used in a question),4
倒,"dǎo, dào",to collapse; to fall; fail; to exchange | to pour; contrary to expectations,4
道歉,dàoqiàn,apologize; make an apology,4
得意,déyì,proud of oneself; complacent,4
得,de,(complement particle),4
登机牌,dēngjīpái,boarding pass,4
等,děng,to wait; rank; equal; etc.,4
低,dī,low; to lower (one's head); droop,4
底,dǐ,bottom; background; base,4
地点,dìdiǎn,place; site; location,4
地球,dìqiú,the Earth; planet,4
地址,dìzhǐ,address,4
调查,diàochá,investigate; survey; inquiry,4
掉,diào,to drop; to fall,4
丢,diū,lose (something); throw; put aside,4
动作,dòngzuò,movement; motion; action,4
堵车,dǔchē,traffic jam,4
肚子,dùzi,belly; abdomen; stomach,4
短信,duǎnxìn,text message; SMS,4
对话,duìhuà,dialogue; conversation,4
对面,duìmiàn,opposite; across from; the other side,4
对于,duìyú,regarding; as far as sth. is concerned; with regards to; for,4
儿童,értóng,child; children,4
而,ér,and; but; yet; while (Kangxi radical 126),4
发生,fāshēng,happen; occur; take place,4
发展,fāzhǎn,develop; development; growth,4
法律,fǎlǜ,law; statute,4
翻译,fānyì,translate; translation; interpret,4
烦恼,fánnǎo,worried; vexed,4
反对,fǎnduì,oppose; fight against,4
方法,fāngfǎ,method; way; means,4
方面,fāngmiàn,aspect; field; side,4
方向,fāngxiàng,direction; orientation,4
房东,fángdōng,landlord,4
放弃,fàngqì,abandon; renounce; give up,4
放暑假,fàng shǔjià,have summer vacation,4
