,Pinyin,Definition,Stroke count,Frequency rank,HSK
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",3,44,HSK4
部,bù,"part, division, section",10,84,HSK4
无,wú,"negative, no, not; KangXi radical 71",4,105,HSK4
与,yǔ,"and; with; to; for; give, grant",3,108,HSK4
民,mín,"people, subjects, citizens",5,113,HSK4
此,cǐ,"this, these; in this case, then",6,116,HSK4
使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",8,119,HSK4
性,xìng,"nature, character, sex",8,122,HSK4
全,quán,"maintain, keep whole or intact",6,124,HSK4
将,jiāng,"will, going to, future; general",9,132,HSK4
由,yóu,"cause, reason; from",5,136,HSK4
并,bìng,,6,141,HSK4
美,měi,"beautiful, pretty; pleasing",9,151,HSK4
利,lì,"gains, advantage, profit, merit",7,155,HSK4
合,hé,"combine, unite, join; gather",6,171,HSK4
内,nèi,inside,4,175,HSK4
度,dù,"degree, system; manner; to consider",9,184,HSK4
任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",6,186,HSK4
海,hǎi,"sea, ocean; maritime",10,189,HSK4
通,tōng,"pass through, common, communicate",10,190,HSK4
原,yuán,"source, origin, beginning",10,193,HSK4
及,jí,extend; reach; come up to; and,3,198,HSK4
论,lùn,debate; discuss; discourse,6,205,HSK4
处,chù,"place, locale; department",5,206,HSK4
各,gè,"each, individually, every, all",6,209,HSK4
入,rù,"enter, come in(to), join",2,210,HSK4
活,huó,"live, exist, survive; lively",9,219,HSK4
尔,ěr,"you; that, those; final particle",5,220,HSK4
何,hé,"what, why, where, which, how",7,229,HSK4
反,fǎn,"reverse, opposite, contrary, anti",4,237,HSK4
受,shòu,"receive, accept, get; bear, stand",8,238,HSK4
量,liàng,"measure, quantity, capacity",12,241,HSK4
建,jiàn,"build, establish, erect, found",8,244,HSK4
计,jì,"plan, plot; strategem; scheme",4,251,HSK4
管,guǎn,"pipe, tube, duct; woodwind music",14,252,HSK4
资,zī,property; wealth; capital,10,257,HSK4
命,mìng,"life; destiny, fate, luck; an order, instruction",8,258,HSK4
金,jīn,gold; metals in general; money,8,260,HSK4
指,zhǐ,"finger, toe; point, indicate",9,261,HSK4
克,kè,gram; overcome; transliteration,7,262,HSK4
许,xǔ,"allow, permit; promise; betroth",6,263,HSK4
区,qū,"area, district, region, ward",4,265,HSK4
保,bǎo,"protect, safeguard, defend, care",9,266,HSK4
至,zhì,"reach, arrive; extremely, very",6,267,HSK4
队,duì,"team, group; army unit",4,268,HSK4
社,shè,"god of the soil and altars to him; group of families; company, society",7,270,HSK4
展,zhǎn,"open, unfold; stretch, extend",10,275,HSK4
科,kē,"section, department, science",9,277,HSK4
